公司名,地区,Region,分类,成立时间,公司简要介绍,创始人/团队,代表产品,公司主页,经度,纬度
1X Technologies,挪威奥斯陆,Europe,通用机器人,2014年,取代Figure成为Open AI协作最紧密机器人公司。通过 VR 训练与真实场景数据闭环实现能力进化，自研的视觉操控模型（Visual Manipulation Model）可直接从原始传感器数据预动作轨迹；腱绳驱动，NEO Gamma 采用日本 Shemiseki 技术编织的尼龙外壳，结合接触式力反馈机制，将意外碰撞力控制在 2N 以下,Bernt Øivind Børnich（领导公司从Halodi Robotics转型为1X，推动与OpenAI合作，实现机器人AI集成）；Eric Jang（前google机器人研究 ）作为AI leader,EVE（轮式企业机器人）；NEO（双足家用人形机器人，高1.65米、负载10kg、成本目标2万美元）；Redwood （1.6亿参数VLA+RL运动控制、5Hz端侧运行）、1X World Model世界模型（模拟器）,https://www.1x.tech/,10.66,59.44
Agility Robotics,美国俄勒冈州Salem,USA,人形机器人,2015年,混合AI+硬件路径：使用AI控制层次，实现动态平衡与步行；提升复杂地形适应能力。其腿部结构折叠后仅占 0.2 立方米空间，便于运输和仓储。,Peggy Johnson（前Qualcomm/前Microsoft）；CTO/联合创始人: Jonathan Hurst（OSU教授）；CBO: Aindrea Campbell；联合创始人: Damion Shelton,Digit（双足人形机器人，高5英尺9英寸、负载35磅/22.68kg，单台25万美金）；Agility Arc（云自动化平台）,https://www.agilityrobotics.com,-122.96,44.89
Apptronik,美国德州Austin,USA,通用人形机器人,2016年,模块化设计+AI路径：电动关节驱动、AI视觉/力控，实现拾取/码垛；轻量化材料降低成本（< $5万美元/台）,Jeff Cardenas（前通用汽车工程师）；CTO: Nick Paine（前NASA）；联合创始人: Luis Sentis（UT Austin副教授，NASA Valkyrie 项目核心成员）,Apollo（通用人形机器人，高1.75米、负载20kg，支持自主导航与工具使用；模块化设计，可以轮式/足式）；Valkyrie（前五年和NASA合作的原型）,https://www.apptronik.com,-97.71,30.4
Boston Dynamics,美国马萨诸塞州,USA,国际人形/四足机器人,1992年,全球技术标杆，Atlas双足机器人、Spot四足机器人,Marc Raibert,Atlas、Spot,https://www.bostondynamics.com,-71.25,42.42
Dyna Robotics,美国,USA,机器人开发,未明确,开发端到端人形机器人平台，简化开发流程,Lindon Gao 与 York Yang 联合创办，Jason Ma 参与,开发具身智能机器人，“DYNA‑1”基础模型机器人,https://www.dyna.co/,-95.62,29.91
Field AI,美国,USA,机器人AI系统,未明确,开发多模态基础模型，包括LLM用于规划、视觉语言模型、世界模型等,Ali Agha 创办,开发工业现场用机器人“脑”软件／自主模型赋能多种机器人,https://www.fieldai.com/,-117.71,33.65
Figure AI,美国加州,USA,通用人形机器人,2022年,端到端AI机器人堆栈；多模态训练（200Hz响应）；垂直硬件-软件集成，实现精细操作与人类形态适应,CEO/创始人: Brett Adcock（前Archer Aviation创始人）；CTO: Jerry Pratt（前Boston Dynamics工程师，现在已经离开创办新公司）,Figure 01、Figure 02（商用自主人形机器人）；Helix（25年2月发布的端到端控制模型，支持多机器人协作如咖啡制作、冰箱整理、25年8月演示叠毛巾）,https://www.figure.ai,-121.95,37.41
Genesis AI,美国,USA,通用机器人,未明确,构建通用机器人系统，支持复杂环境中的运动与灵巧操作,Zhou Xian & Theophile Gervet 创立（2024 年）,全栈物理AI 实验室 + 通用机器人平台,https://genesis-ai.company/,-80.14,25.77
Google DeepMind,美国,USA,Gemini Robotics模型(与Apptronik和波士顿动力合作),2025年3月推出,采用VLA框架，将视觉理解与行动规划集成；支持零-shot（零样本）和few-shot学习，无需大量特定训练数据即可泛化。,与Apptronik、波士顿动力合作,"Gemini Robotics是基于Gemini 2.0基础模型的VLA模型，半开源，包括标准版和Gemini Robotics-ER（Embodied Reasoning，具身推理版）,Genie 3世界模型, ASIMOV数据集与安全框架",https://deepmind.google,-122.09,37.42
NVIDIA,美国,USA,机器人平台,未明确,开发多模态基础模型，包括LLM用于规划、视觉语言模型、世界模型；通用机器人系统，支持复杂环境中的运动和灵巧操纵；基础代理如大型行动模型，在游戏和模拟中自主探索。,Dr. Jim Fan（资深研究科学家）和Prof. Yuke Zhu（教授级研究科学家），都来自李飞飞组,GROOT开源VLA+COSMOS世界模型,https://www.nvidia.com,-121.97,37.37
